snailID,concentration,confct,time,status
G21,1,a,24,2
G21,1,a,24,1
G21,1,a,24,1
G21,1,a,24,1
G21,1,a,24,1
G21,1,a,24,1
G21,5,b,8,2
G21,5,b,8,2
G21,5,b,12,2
G21,5,b,12,2
G21,5,b,24,2
G21,5,b,24,2
G21,5,b,24,2
G21,5,b,24,2
G21,5,b,24,2
G21,5,b,24,2
G21,5,b,24,2
G21,5,b,24,2
G21,5,b,24,2
G21,5,b,24,2
G21,5,b,24,2
G21,5,b,24,1
G21,5,b,24,1
G21,5,b,24,1
G21,5,b,24,1
G21,5,b,24,1
G21,10,c,24,2
G21,10,c,24,2
G21,10,c,24,2
G21,10,c,24,2
G21,10,c,24,2
G21,10,c,24,2
G21,10,c,24,2
G21,10,c,24,2
G21,10,c,24,2
G21,10,c,24,1
G21,10,c,24,1
G21,10,c,24,1
G21,10,c,24,1
G21,10,c,24,1
G21,10,c,24,1
G21,10,c,24,1
G21,10,c,24,1
G21,10,c,24,1
G21,10,c,24,1
G21,10,c,24,1
G21,10,c,24,1
G21,15,d,8,2
G21,15,d,12,2
G21,15,d,12,2
G21,15,d,24,2
G21,15,d,24,2
G21,15,d,24,2
G21,15,d,24,2
G21,15,d,24,2
G21,15,d,24,2
G21,15,d,24,2
G21,15,d,24,2
G21,15,d,24,2
G21,15,d,24,2
G21,15,d,24,2
G21,15,d,24,2
G21,15,d,24,2
G21,15,d,24,2
G21,15,d,24,2
G21,15,d,24,1
G21,15,d,24,1
G21,15,d,24,1
G22,1,a,12,2
G22,1,a,12,2
G22,1,a,12,2
G22,1,a,12,2
G22,1,a,24,2
G22,1,a,24,2
G22,1,a,24,2
G22,1,a,24,2
G22,1,a,24,2
G22,1,a,24,2
G22,1,a,24,2
G22,1,a,24,2
G22,1,a,24,2
G22,1,a,24,1
G22,1,a,24,1
G22,1,a,24,1
G22,5,b,8,2
G22,5,b,24,2
G22,5,b,24,2
G22,5,b,24,2
G22,5,b,24,2
G22,5,b,24,2
G22,5,b,24,2
G22,5,b,24,2
G22,5,b,24,2
G22,5,b,24,2
G22,5,b,24,2
G22,5,b,24,2
G22,5,b,24,2
G22,5,b,24,2
G22,5,b,24,2
G22,5,b,24,2
G22,5,b,24,1
G22,5,b,24,1
G22,5,b,24,1
G22,5,b,24,1
G22,5,b,24,1
G22,5,b,24,1
G22,5,b,24,1
G22,10,c,12,2
G22,10,c,24,2
G22,10,c,24,2
G22,10,c,24,2
G22,10,c,24,2
G22,10,c,24,2
G22,10,c,24,2
G22,10,c,24,2
G22,10,c,24,2
G22,10,c,24,2
G22,10,c,24,2
G22,10,c,24,2
G22,10,c,24,2
G22,10,c,24,2
G22,10,c,24,2
G22,10,c,24,2
G22,10,c,24,2
G22,10,c,24,1
G22,10,c,24,1
G22,10,c,24,1
G22,10,c,24,1
G22,10,c,24,1
G22,15,d,8,2
G22,15,d,8,2
G22,15,d,12,2
G22,15,d,12,2
G22,15,d,12,2
G22,15,d,12,2
G22,15,d,12,2
G22,15,d,12,2
G22,15,d,12,2
G22,15,d,12,2
G22,15,d,24,2
G22,15,d,24,2
G22,15,d,24,2
G22,15,d,24,2
G22,15,d,24,2
G22,15,d,24,2
G22,15,d,24,2
G22,15,d,24,2
G22,15,d,24,2
